Ciudad,Latitud,Longitud
- Coordenadas Colmenar-del-Arroyo,- Como Ir a Colmenar-del-Arroyo,"40.3962749968664,-4.1765863985"
- Coordenadas Colmenar-Viejo,- Como Ir a Colmenar-Viejo,"40.6402717148913,-3.7315088778"
- Coordenadas Colmenarejo,- Como Ir a Colmenarejo,"40.5302453656987,-4.0161034264"
- Coordenadas Corpa,- Como Ir a Corpa,"40.4247072043134,-3.2504958142"
- Coordenadas Coslada,- Como Ir a Coslada,"40.4290160730953,-3.5515910088"
- Coordenadas Cubas-de-la-Sagra,- Como Ir a Cubas-de-la-Sagra,"40.1916176609962,-3.8341913675"
- Coordenadas Daganzo-de-Arriba,- Como Ir a Daganzo-de-Arriba,"40.5625325023194,-3.4398829922"
- Coordenadas Escorial-El,- Como Ir a Escorial-El,"40.5741999819206,-4.0969685246"
- Coordenadas Estremera,- Como Ir a Estremera,"40.1401713329908,-3.0937353480"
- Coordenadas Fresnedillas-de-la-Oliva,- Como Ir a Fresnedillas-de-la-Oliva,"40.4748283396668,-4.1787986430"
- Coordenadas Fresno-de-Torote,- Como Ir a Fresno-de-Torote,"40.6045758335124,-3.4040291287"
- Coordenadas Fuenlabrada,- Como Ir a Fuenlabrada,"40.2885396922775,-3.7972964655"
- Coordenadas Fuente-el-Saz-de-Jarama,- Como Ir a Fuente-el-Saz-de-Jarama,"40.6386828713088,-3.5212288722"
- Coordenadas Fuentiduena-de-Tajo,- Como Ir a Fuentiduena-de-Tajo,"40.1136414461273,-3.1645427223"
